Unnamed: 0,name,currentAnnualSalary,currentMonthlySalary,active,jobTitle,gender,spatial_name,role_name,affiliation_slug,member_of_name,municipio
23,Ada Colau Ballano,96304.0,6878.86,True,Concejal,female,Local,Concejal,barcelona-en-comu,Ayuntamiento De Barcelona/ES,Barcelona
24,Josep Rull I Andreu,133332.64,9523.76,True,Presidente de la Mesa,male,Autonómico,Diputado,junts-per-catalunya,Parlament De Catalunya,Parlament De Catalunya
25,Emiliano García-Page Sánchez,91717.78,6551.27,True,Presidente de la Junta de Comunidades de Castilla-La Mancha,male,Autonómico,Presidente,psoe,Junta De Castilla-La Mancha,Junta De Castilla-La Mancha
26,Salvador Illa Roca,140256.96,10018.35,True,Presidente,male,Autonómico,Presidente,psoe,Generalitat De Catalunya,Generalitat De Catalunya
27,Carmen Calvo Poyato,93090.36,7757.53,True,Presidenta del Consejo de Estado,female,Nacional,Presidente,psoe,Consejo De Estado,Consejo De Estado
28,Margarita Robles Fernández,80190.0,0.0,True,Ministra de Defensa,female,Nacional,Ministro,psoe,Gobierno De España,Gobierno De España
29,Fernando Grande-Marlaska Gómez,81793.8,6816.15,True,Ministro del Interior,male,Nacional,Ministro,psoe,Gobierno De España,Gobierno De España
30,José Luis Ábalos Meco,74413.36,5315.24,True,Diputado,male,Nacional,Diputado,sin-partido,Congreso De Los Diputados,Congreso De Los Diputados
31,Teresa Ribera Rodríguez,424236.84,35353.07,True,Vicepresidenta primera y comisaria de Competencia de la Comisión Europea,female,Europeo,Cargo europeo,psoe,Comisión Europea,Comisión Europea
32,Félix Bolaños García,96073.59,7840.74,True,"Ministro de la Presidencia, Justicia y Relaciones con las Cortes",male,Nacional,Ministro,psoe,Gobierno De España,Gobierno De España
33,María Jesús Montero Cuadrado,123994.7,9986.4,True,Vicepresidenta primera y ministra de Hacienda,female,Nacional,Ministro,psoe,Gobierno De España,Gobierno De España
34,Reyes Maroto Illera,101811.36,8484.28,True,Concejala y Portavoz del Grupo Municipal Socialista de Madrid,female,Local,Concejal,psoe,Ayuntamiento De Madrid/ES,Madrid
35,Alfonso Rueda Valenzuela,91407.9,6529.14,True,Presidente da Xunta de Galicia,male,Autonómico,Presidente,partido-popular,Xunta De Galicia,Xunta De Galicia
36,Juan Carlos De Borbón,0.0,0.0,True,Rey emérito,male,Nacional,Altos cargos,sin-partido,Casa Real,Casa Real
37,Alberto Núñez Feijóo,59200.82,4228.63,True,Diputado,male,Nacional,Diputado,partido-popular,Congreso De Los Diputados,Congreso De Los Diputados
38,Pedro Sánchez Pérez-Castejón,107037.54,8754.41,True,Presidente,male,Nacional,Presidente,psoe,Gobierno De España,Gobierno De España
39,Felipe De Borbón Y Grecia,270609.6,22550.8,True,Rey de España,male,Nacional,Altos cargos,sin-partido,Casa Real,Casa Real
40,Gabriel Rufián Romero,134288.28,9592.02,True,Diputado,male,Nacional,Diputado,erc,Congreso De Los Diputados,Congreso De Los Diputados
41,Patxi López Álvarez,117439.98,8388.57,True,Diputado,male,Nacional,Diputado,psoe,Congreso De Los Diputados,Congreso De Los Diputados
42,Ana María Oramas González-Moro,65301.7,5023.21,True,Vicepresidenta primera de la Mesa del Parlamento de Canarias,female,Autonómico,Diputado,coalicion-canaria,Parlamento De Canarias,Parlamento De Canarias
43,Adriana Lastra Fernández,71897.0,5135.5,True,Diputada,female,Nacional,Diputado,psoe,Congreso De Los Diputados,Congreso De Los Diputados
44,Ana María Pastor Julián,71897.0,5135.5,True,Diputada,female,Nacional,Diputado,partido-popular,Congreso De Los Diputados,Congreso De Los Diputados
45,Santiago Abascal Conde,59200.82,4228.63,True,Diputado,male,Nacional,Diputado,vox,Congreso De Los Diputados,Congreso De Los Diputados
46,Jorge Pueyo Sanz,124863.62,8918.83,True,Diputado,male,Nacional,Diputado,sumar,Congreso De Los Diputados,Congreso De Los Diputados
47,Nadia María Calviño Santamaría,381397.92,31783.16,True,Presidenta del Banco Europeo de Inversiones (BEI),female,Europeo,Cargo europeo,sin-partido,Banco Europeo De Inversiones,Banco Europeo De Inversiones
48,Alfons Casamajo Carrera,6912.88,576.07,True,Alcalde Del Ayuntamiento De Ger,male,Local,Alcalde,junts-per-catalunya,Ayuntamiento De Àger/ES,Ger
49,Gonzalo Capellán De Miguel,90777.25,6579.57,True,Presidente del Gobierno de La Rioja,male,Autonómico,Presidente,partido-popular,Gobierno De La Rioja,Gobierno De La Rioja
50,Daniel Ayllón Noheda,0.0,0.0,True,Alcalde del Ayuntamiento De Villar de Olalla,male,Local,Alcalde,psoe,Ayuntamiento De Villar de Olalla/ES,Villar De Olalla
51,Pau Presas i Bertran,14102.27,1175.19,True,Alcalde Del Ayuntamiento De Cassà de la Selva,male,Local,Alcalde,erc,Ayuntamiento De Cassà de la Selva/ES,Cassà De La Selva
52,Yolanda Mendo,6581.06,548.42,True,Alcaldesa de Guils de Cerdanya,male,Local,Alcalde,junts-per-catalunya,Ayuntamiento De Guils de Cerdanya/ES,Guils De Cerdanya
53,Luis Pérez Fernández (Alvise),131129.3,10927.44,True,Eurodiputado,male,Europeo,Cargo europeo,salf,Parlamento Europeo,Parlamento Europeo
54,Mario Cordoba Martins,0.0,0.0,True,Alcalde de Undués de Lerda,male,Local,Alcalde,u-a,Ayuntamiento De Undués de Lerda/ES,Undués De Lerda
55,Juan Manuel Bermudez Escamez,38759.98,2768.57,True,Alcalde Del Ayuntamiento De Conil De La Frontera,male,Local,Alcalde,iu-andalucia,Ayuntamiento De Conil de la Frontera/ES,Conil De La Frontera
56,German Beardo Caro,47949.2,3424.94,True,Alcalde Del Ayuntamiento De Puerto De Santa María  El,male,Local,Alcalde,partido-popular,Ayuntamiento De El Puerto de Santa María/ES,Puerto De Santa María  El
57,Jose Javier Ruiz Arana,49045.09,4087.09,True,Alcalde Del Ayuntamiento De Rota,male,Local,Alcalde,psoe,Ayuntamiento De Rota/ES,Rota
58,Juan Carlos Ruiz Boix,97457.92,6961.28,True,Diputado,male,Nacional,Diputado,psoe,Congreso De Los Diputados,Congreso De Los Diputados
59,Alvaro Arias Rubio,20440.0,1703.33,True,Alcalde Del Ayuntamiento De Valdefuentes,male,Local,Alcalde,partido-popular,Ayuntamiento De Valdefuentes/ES,Valdefuentes
60,Juan Antonio Orgaz Rodriguez,18055.33,1504.61,True,Alcalde Del Ayuntamiento De Valdelacasa De Tajo,male,Local,Alcalde,partido-popular,Ayuntamiento De Valdelacasa de Tajo/ES,Valdelacasa De Tajo
61,Jose Flores Tapia,1713.58,0.0,True,Alcalde Del Ayuntamiento De Villa Del Rey,male,Local,Alcalde,psoe,Ayuntamiento De Villa del Rey/ES,Villa Del Rey
62,Oscar Fernandez Gamonal,27699.79,2308.32,True,Alcalde Del Ayuntamiento De Villar Del Pedroso,male,Local,Alcalde,partido-popular,Ayuntamiento De Villar del Pedroso/ES,Villar Del Pedroso
63,Antonio Cepero Barberan,43749.21,3645.77,True,Alcalde Del Ayuntamiento De Benalup-Casas Viejas,male,Local,Alcalde,psoe,Ayuntamiento De Benalup-Casas Viejas/ES,Benalup-Casas Viejas
64,Jose Juan Franco Rodriguez,69886.48,5823.87,True,Alcalde Del Ayuntamiento De La Línea De La Concepción,male,Local,Alcalde,ll100x100,Ayuntamiento De La Línea de la Concepción/ES,La Línea De La Concepción
65,Maria Esperanza Mayero Sanchez,25455.62,0.0,True,Alcaldesa Del Ayuntamiento De Valverde De La Vera,female,Local,Alcalde,cs,Ayuntamiento De Valverde de la Vera/ES,Valverde De La Vera
66,Hugo Palomares Beltrán,27473.55,2289.46,True,Alcalde Del Ayuntamiento De Bornos,male,Local,Alcalde,iu-andalucia,Ayuntamiento De Bornos/ES,Bornos
67,Jose Maria Roman Guerrero,69344.88,5778.74,True,Alcalde Del Ayuntamiento De Chiclana De La Frontera,male,Local,Alcalde,psoe,Ayuntamiento De Chiclana de la Frontera/ES,Chiclana De La Frontera
68,Patricia Cabada Montañes,61192.24,0.0,True,Alcaldesa Del Ayuntamiento De San Fernando,female,Local,Alcalde,psoe,Ayuntamiento De San Fernando/ES,San Fernando
69,Jesus Fernandez Rey,37817.28,3151.44,True,Alcalde Del Ayuntamiento De San Martín Del Tesorillo,male,Local,Alcalde,iu-andalucia,Ayuntamiento De San Martín del Tesorillo/ES,San Martín Del Tesorillo
70,Victor Manuel Hernandez Martin,19893.74,1657.81,True,Alcalde Del Ayuntamiento De Villa Del Campo,male,Local,Alcalde,partido-popular,Ayuntamiento De Villa del Campo/ES,Villa Del Campo
71,Maria Jose Perez Izquierdo,14670.88,1222.57,True,Alcaldesa Del Ayuntamiento De Villar De Plasencia,female,Local,Alcalde,psoe,Ayuntamiento De Villar de Plasencia/ES,Villar De Plasencia
72,Juan Francisco Ciudad Broncano,0.0,0.0,True,Alcalde Del Ayuntamiento De Zorita,male,Local,Alcalde,partido-popular,Ayuntamiento De Zorita/ES,Zorita
73,Javier Pizarro Ruiz,33195.59,2766.3,True,Alcalde Del Ayuntamiento De Alcalá De Los Gazules,male,Local,Alcalde,psoe,Ayuntamiento De Alcalá de los Gazules/ES,Alcalá De Los Gazules
74,Miguel Fermin Alconchez Jiménez,52855.06,4404.59,True,Alcalde Del Ayuntamiento De Los Barrios,male,Local,Alcalde,ua,Ayuntamiento De Los Barrios/ES,Los Barrios
75,Adrian Vaca Carrillo,33136.05,2761.34,True,Alcalde Del Ayuntamiento De Castellar De La Frontera,male,Local,Alcalde,psoe,Ayuntamiento De Castellar de la Frontera/ES,Castellar De La Frontera
76,Maria Isabel Moreno Fernandez,92982.19,6518.69,True,Diputada,female,Nacional,Diputado,psoe,Congreso De Los Diputados,Congreso De Los Diputados
77,Francisco Jose Gomez Perez,36176.96,3014.75,True,Alcalde Del Ayuntamiento De Jimena De La Frontera,male,Local,Alcalde,iu-andalucia,Ayuntamiento De Jimena de la Frontera/ES,Jimena De La Frontera
78,Francisco Parraga Rodriguez,48167.59,4013.97,True,Alcalde Del Ayuntamiento De Olvera,male,Local,Alcalde,psoe,Ayuntamiento De Olvera/ES,Olvera
79,Maria Vanesa Beltran Morales,35473.89,0.0,True,Alcaldesa Del Ayuntamiento De Prado Del Rey,female,Local,Alcalde,partido-popular,Ayuntamiento De Prado del Rey/ES,Prado Del Rey
80,Daniel Pérez Martínez,38752.95,3229.41,True,Alcalde Del Ayuntamiento De Puerto Serrano,male,Local,Alcalde,iu-andalucia,Ayuntamiento De Puerto Serrano/ES,Puerto Serrano
81,Alfonso Carlos Moscoso González,94267.97,6753.18,True,Senador,male,Nacional,Senador,psoe,Senado,Senado
82,Juan Luis Morales Gallardo,51428.65,4285.72,True,Alcalde Del Ayuntamiento De Villamartín,male,Local,Alcalde,ua,Ayuntamiento De Villamartín/ES,Villamartín
83,Juan Jose Barruetabeña Manso,27119.94,2260.0,True,Alcalde Del Ayuntamiento De Argoños,male,Local,Alcalde,partido-popular,Ayuntamiento De Argoños/ES,Argoños
84,Gumersindo Ranero Lavin,42670.8,3555.9,True,Alcalde Del Ayuntamiento De Bárcena De Cicero,male,Local,Alcalde,prc,Ayuntamiento De Bárcena de Cicero/ES,Bárcena De Cicero
85,Agustin Molleda Gutierrez,43201.14,3600.09,True,Alcalde Del Ayuntamiento De Cartes,male,Local,Alcalde,psoe,Ayuntamiento De Cartes/ES,Cartes
86,Jesus Maria Cuevas Monasterio,21830.54,1819.21,True,Alcalde Del Ayuntamiento De Cillorigo De Liébana,male,Local,Alcalde,partido-popular,Ayuntamiento De Cillorigo de Liébana/ES,Cillorigo De Liébana
87,María Dolores Rivero Alonso,40803.98,2914.57,True,Alcaldesa Del Ayuntamiento De Guriezo,female,Local,Alcalde,nads,Ayuntamiento De Guriezo/ES,Guriezo
88,Jose Carlos Lavin Cuesta,28508.45,0.0,True,Alcalde Del Ayuntamiento De Penagos,male,Local,Alcalde,upp,Ayuntamiento De Penagos/ES,Penagos
89,Secundino Caso Roiz,92608.88,6614.85,True,Senador,male,Nacional,Senador,psoe,Senado,Senado
90,Rosa Carmen Díaz Fernández,99325.44,8277.12,True,Diputada,female,Autonómico,Diputado,partido-regionalista-de-cantabria,Parlamento De Cantabria,Parlamento De Cantabria
91,Oscar Villegas Vega,44610.59,3717.55,True,Alcalde Del Ayuntamiento De Puente Viesgo,male,Local,Alcalde,prc,Ayuntamiento De Puente Viesgo/ES,Puente Viesgo
92,Agustin Pernia Vaca,361.31,30.11,True,Alcalde Del Ayuntamiento De Anievas,male,Local,Alcalde,prc,Ayuntamiento De Anievas/ES,Anievas
93,Jose Manuel Igual Ortiz,35211.61,2934.3,True,Alcalde Del Ayuntamiento De Arnuero,male,Local,Alcalde,partido-popular,Ayuntamiento De Arnuero/ES,Arnuero
94,Susana Herrán Martín,43984.12,3141.72,True,Alcaldesa del Ayuntamiento de Castro-Urdiales,female,Local,Alcalde,psoe,Ayuntamiento De Castro-Urdiales/ES,Castro-Urdiales
95,Monica Quevedo Aguado,0.0,0.0,True,Alcaldesa Del Ayuntamiento De Corvera De Toranzo,female,Local,Alcalde,prc,Ayuntamiento De Corvera de Toranzo/ES,Corvera De Toranzo
96,María Jesús Susinos Tarrero,68230.98,4873.64,True,"Consejera de Desarrollo Rural, Ganadería, Pesca y Alimentación del Gobierno de Cantabria",female,Autonómico,Altos cargos,partido-popular,Gobierno De Cantabria,Gobierno De Cantabria
97,Oscar Casares Alonso,16061.94,1338.5,True,Alcalde Del Ayuntamiento De Camaleño,male,Local,Alcalde,prc,Ayuntamiento De Camaleño/ES,Camaleño
98,Pedro Manuel Martinez Garcia,46212.65,3851.05,True,Alcalde Del Ayuntamiento De Campoo De Enmedio,male,Local,Alcalde,partido-popular,Ayuntamiento De Campoo de Enmedio/ES,Campoo De Enmedio
99,Pedro Perez Ferradas,14931.82,1244.32,True,Alcalde Del Ayuntamiento De Marina De Cudeyo,male,Local,Alcalde,psoe,Ayuntamiento De Marina de Cudeyo/ES,Marina De Cudeyo
100,Francisco Javier Camino Conde,1142.93,95.24,True,Alcalde Del Ayuntamiento De Mazcuerras,male,Local,Alcalde,partido-popular,Ayuntamiento De Mazcuerras/ES,Mazcuerras
101,Evaristo Dominguez Dosal,16812.23,1401.02,True,Alcalde Del Ayuntamiento De Meruelo,male,Local,Alcalde,partido-popular,Ayuntamiento De Meruelo/ES,Meruelo
102,Enrique Sabaris Conde,15484.85,1290.4,True,Alcalde Del Ayuntamiento De Pesaguero,male,Local,Alcalde,partido-popular,Ayuntamiento De Pesaguero/ES,Pesaguero
103,César García García,32260.1,2688.34,True,Alcalde Del Ayuntamiento De Ramales De La Victoria,male,Local,Alcalde,psoe,Ayuntamiento De Ramales de la Victoria/ES,Ramales De La Victoria
104,Sergio Castro González,365.0,26.07,True,Alcalde Del Ayuntamiento De Rasines,male,Local,Alcalde,prc,Ayuntamiento De Rasines/ES,Rasines
105,Pedro Barroso Salas,1.82,0.13,True,Alcalde Del Ayuntamiento De Torre Alháquime,male,Local,Alcalde,psoe,Ayuntamiento De Torre Alháquime/ES,Torre Alháquime
106,Leoncio Carrascal Ruiz,33975.86,2831.32,True,Alcalde Del Ayuntamiento De Arredondo,male,Local,Alcalde,prc,Ayuntamiento De Arredondo/ES,Arredondo
107,Agustin Mantecon Gonzalez,10422.93,868.58,True,Alcalde Del Ayuntamiento De Bárcena De Pie De Concha,male,Local,Alcalde,prc,Ayuntamiento De Bárcena de Pie de Concha/ES,Bárcena De Pie De Concha
108,Eduardo Ortiz Garcia,8078.45,673.2,True,Alcalde Del Ayuntamiento De Campoo De Yuso,male,Local,Alcalde,prc,Ayuntamiento De Campoo de Yuso/ES,Campoo De Yuso
109,Javier Incera Goyenechea,49512.8,4126.07,True,Alcalde Del Ayuntamiento De Colindres,male,Local,Alcalde,psoe,Ayuntamiento De Colindres/ES,Colindres
110,María Teresa Noceda Llano,53279.54,4439.96,True,Diputada,female,Autonómico,Diputado,partido-regionalista-de-cantabria,Parlamento De Cantabria,Parlamento De Cantabria
111,Marcos Agüeros Sanchez,147.47,12.29,True,Alcalde Del Ayuntamiento De Lamasón,male,Local,Alcalde,partido-popular,Ayuntamiento De Lamasón/ES,Lamasón
112,Francisco Javier Gomez Ruiz,22489.83,1874.15,True,Alcalde Del Ayuntamiento De Potes,male,Local,Alcalde,partido-popular,Ayuntamiento De Potes/ES,Potes
113,Francisco Manuel Ason Perez,5130.65,427.55,True,Alcalde Del Ayuntamiento De Ribamontán Al Mar,male,Local,Alcalde,prc,Ayuntamiento De Ribamontán al Mar/ES,Ribamontán Al Mar
114,Joaquin Arco Alonso,37533.48,0.0,True,Alcalde Del Ayuntamiento De Ribamontán Al Monte,male,Local,Alcalde,prc,Ayuntamiento De Ribamontán al Monte/ES,Ribamontán Al Monte
115,Gema Igual Ortiz,68082.0,5673.5,True,Alcaldesa Del Ayuntamiento De Santander,female,Local,Alcalde,partido-popular,Ayuntamiento De Santander/ES,Santander
116,Fernando Franco Gonzalez,25326.89,2110.57,True,Alcalde Del Ayuntamiento De Valdeolea,male,Local,Alcalde,partido-popular,Ayuntamiento De Valdeolea/ES,Valdeolea
117,Luis Fernando Fernandez Fernandez,0.0,0.0,True,Alcalde Del Ayuntamiento De Valderredible,male,Local,Alcalde,prc,Ayuntamiento De Valderredible/ES,Valderredible
118,José María Pérez Sánchez,56107.49,4675.62,True,Alcalde Del Ayuntamiento De Pilar De La Horadada,male,Local,Alcalde,partido-popular,Ayuntamiento De Pilar de la Horadada/ES,Pilar De La Horadada
119,Manuel Pineda Cuenca,8203.28,683.61,True,Alcalde Del Ayuntamiento De Rafal,male,Local,Alcalde,psoe,Ayuntamiento De Rafal/ES,Rafal
120,Lino Antonio Pascual Carbonell,43402.74,3616.9,True,Alcalde Del Ayuntamiento De Relleu,male,Local,Alcalde,partido-popular,Ayuntamiento De Relleu/ES,Relleu
121,Nelson Romero Pastor,36406.94,3033.91,True,Alcalde Del Ayuntamiento De La Romana,male,Local,Alcalde,psoe,Ayuntamiento De la Romana/ES,La Romana
122,Joaquin Gavila Mengual,6461.24,538.44,True,Alcalde Del Ayuntamiento De Sanet Y Negrals,male,Local,Alcalde,sanet-fepal,Ayuntamiento De Sanet y Negrals/ES,Sanet Y Negrals
123,Laura Estevan Antolin,33626.09,2802.17,True,Alcaldesa Del Ayuntamiento De Sax,female,Local,Alcalde,partido-popular,Ayuntamiento De Sax/ES,Sax
124,Andrés Verdú Reos,59539.76,4252.84,True,Alcalde Del Ayuntamiento De Villajoyosa/Vila Joiosa  La,male,Local,Alcalde,psoe,Ayuntamiento De Villajoyosa/Vila Joiosa  La,Villajoyosa
125,Mateo Simarro García,33082.0,2363.0,True,Alcalde Del Ayuntamiento De Balazote,male,Local,Alcalde,psoe,Ayuntamiento De Balazote/ES,Balazote
126,Natividad Pérez García,0.0,0.0,True,Alcaldesa Del Ayuntamiento De Balsa De Ves,female,Local,Alcalde,psoe,Ayuntamiento De Balsa de Ves/ES,Balsa De Ves
127,María Dolores Serrano Gutiérrez,60326.72,4312.34,True,Delegada Provincial de la Consejería de Igualdad en Albacete,female,Autonómico,Altos cargos,psoe,Junta De Castilla-La Mancha,Junta De Castilla-La Mancha
128,Fulgencio José Cerdán Barceló,54639.17,4553.26,True,Alcalde Del Ayuntamiento De Villena,male,Local,Alcalde,psoe,Ayuntamiento De Villena/ES,Villena
129,Joan Miquel Garces Font,41292.93,3441.08,True,Alcalde Del Ayuntamiento De Xaló,male,Local,Alcalde,acord-per-guanyar,Ayuntamiento De Xaló/ES,Xaló
130,Diego Pérez González,60050.2,4289.3,True,"Delegado Provincial de Educación, Cultura y Deportes en Albacete",male,Autonómico,Altos cargos,psoe,Junta De Castilla-La Mancha,Junta De Castilla-La Mancha
131,Francisco José Mansilla Pérez,20903.13,1741.93,True,Alcalde Del Ayuntamiento De Albatana,male,Local,Alcalde,psoe,Ayuntamiento De Albatana/ES,Albatana
132,Isabel Belen Iniesta Egido,91261.66,6518.69,True,Diputada,female,Nacional,Diputado,psoe,Congreso De Los Diputados,Congreso De Los Diputados
133,Maria Eugenia Cuartero Garrido,33938.66,2828.22,True,Alcaldesa Del Ayuntamiento De Casas De Lázaro,female,Local,Alcalde,aicl,Ayuntamiento De Casas de Lázaro/ES,Casas De Lázaro
134,Sergio Marín Sánchez,63170.3,4549.31,True,"Delegado Provincial de Hacienda, Administraciones Públicas y Transformación Digital en Albacete",male,Autonómico,Altos cargos,psoe,Junta De Castilla-La Mancha,Junta De Castilla-La Mancha
135,Alfonso Avendaño Sanchez,27651.52,2304.29,True,Alcalde Del Ayuntamiento De Lezuza,male,Local,Alcalde,psoe,Ayuntamiento De Lezuza/ES,Lezuza
136,Antonio Garcia Docon,25100.17,2091.68,True,Alcalde Del Ayuntamiento De Liétor,male,Local,Alcalde,partido-popular,Ayuntamiento De Liétor/ES,Liétor
137,Fèlix Frau Seguí,221.21,18.43,True,Alcalde Del Ayuntamiento De Tollos,male,Local,Alcalde,partido-popular,Ayuntamiento De Tollos/ES,Tollos
138,Juan Carlos Mengual Mengual,13950.01,1162.5,True,Alcalde Del Ayuntamiento De La Vall De Laguar,male,Local,Alcalde,acord-per-guanyar,Ayuntamiento De la Vall de Laguar/ES,La Vall De Laguar
139,Joaquin Coll Moll,25985.89,1856.14,True,Alcalde Del Ayuntamiento De Verger  El,male,Local,Alcalde,psoe,Ayuntamiento De el Verger/ES,Verger  El
140,Angel Alfaro Sancho,2258.42,188.2,True,Alcalde Del Ayuntamiento De Alcadozo,male,Local,Alcalde,partido-popular,Ayuntamiento De Alcadozo/ES,Alcadozo
141,Juan Angel Martinez Gonzalez,0.0,0.0,True,Alcalde Del Ayuntamiento De Ayna,male,Local,Alcalde,partido-popular,Ayuntamiento De Ayna/ES,Ayna
142,Moises Lopez Martinez,39703.23,3308.6,True,Alcalde Del Ayuntamiento De Caudete,male,Local,Alcalde,partido-popular,Ayuntamiento De Caudete/ES,Caudete
143,Francisco Morote Alcaraz,14638.41,0.0,True,Alcalde Del Ayuntamiento De Chinchilla De Monte-Aragón,male,Local,Alcalde,psoe,Ayuntamiento De Chinchilla de Monte-Aragón/ES,Chinchilla De Monte-Aragón
144,Raquel Ruíz López,792.68,66.06,True,Alcaldesa Del Ayuntamiento De Elche De La Sierra,female,Local,Alcalde,psoe,Ayuntamiento De Elche de la Sierra/ES,Elche De La Sierra
145,Juan Carlos Talavera Utiel,36850.07,3070.84,True,Alcalde Del Ayuntamiento De Madrigueras,male,Local,Alcalde,psoe,Ayuntamiento De Madrigueras/ES,Madrigueras
146,Juan Jose Grande Gonzalez,921.72,76.81,True,Alcalde Del Ayuntamiento De Minaya,male,Local,Alcalde,partido-popular,Ayuntamiento De Minaya/ES,Minaya
147,María Del Milagro Llinares Fenollar,21015.15,1751.26,True,Alcaldesa Del Ayuntamiento De Sella,female,Local,Alcalde,aes,Ayuntamiento De Sella/ES,Sella
148,Francisco Javier Molines Sifre,8295.45,691.29,True,Alcalde Del Ayuntamiento De Tàrbena,male,Local,Alcalde,ipt-fepal,Ayuntamiento De Tàrbena/ES,Tàrbena
149,Geronimo Bermudez Lara,23554.56,1962.88,True,Alcalde Del Ayuntamiento De Tormos,male,Local,Alcalde,partido-popular,Ayuntamiento De Tormos/ES,Tormos
150,Pedro Jesus Valero Montoya,28638.05,2386.5,True,Alcalde Del Ayuntamiento De Alcaraz,male,Local,Alcalde,psoe,Ayuntamiento De Alcaraz/ES,Alcaraz
151,Josefa Mansilla Ortuño,866.41,72.2,True,Alcaldesa Del Ayuntamiento De Bonete,female,Local,Alcalde,partido-popular,Ayuntamiento De Bonete/ES,Bonete
152,Francisco Javier Jaime Espinosa,5786.34,482.2,True,Alcalde Del Ayuntamiento De Férez,male,Local,Alcalde,psoe,Ayuntamiento De Férez/ES,Férez
153,Jose Antonio Piqueras Garcia,1888.27,157.36,True,Alcalde Del Ayuntamiento De Golosalvo,male,Local,Alcalde,partido-popular,Ayuntamiento De Golosalvo/ES,Golosalvo
154,Isabel Martinez Arnedo,20930.22,1744.19,True,Alcaldesa Del Ayuntamiento De Higueruela,female,Local,Alcalde,psoe,Ayuntamiento De Higueruela/ES,Higueruela
